disease	summary	symptom
Cuts and puncture wounds	"<p>A cut is a break or opening in the skin. It is also called a laceration. A cut may be deep, smooth, or jagged. It may be near the surface of the skin, or deeper. A deep cut can affect tendons, muscles, ligaments, nerves, blood vessels, or bone.</p><p>A puncture is a wound made by a pointed object such as a nail, knife, or sharp tooth. </p></div>"	</div></div><div class="section-body" id="section-1"><p>Symptoms include:</p><ul><li><a test="test" href="./000045.htm">Bleeding</a></li><li>Problems with function or feeling below the wound site</li><li>Pain</li></ul><p>Infection may occur with some cuts and puncture wounds. The following are more likely to become infected:</p><ul><li>Bites</li><li>Punctures</li><li>Crushing injuries</li><li>Dirty wounds</li><li>Wounds on the feet</li><li>Wounds that are not promptly treated</li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>First Aid</h2></div><div class="section-button"><button type="submit" aria-controls="section-2" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Choking - infant under 1 year	""	</div></div><div class="section-body" id="section-2"><p>The danger signs of choking are:</p><ul><li>Bluish skin color</li><li>Difficulty breathing - ribs and chest pull inward</li><li>Loss of consciousness if blockage is not cleared</li><li>Inability to cry or make much sound</li><li>Weak, ineffective coughing</li><li>Soft or high-pitched sounds while inhaling</li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>First Aid</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Choking - unconscious adult or child over 1 year	""	</div></div><div class="section-body" id="section-2"><p>Symptoms of choking when a person is unconscious include:</p><ul><li>Bluish color to the lips and nails</li><li>Inability to breathe</li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>First Aid</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Chemical burn or reaction	"<p>Chemicals that touch skin can lead to a reaction on the skin, throughout the body, or both.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Depending on the type of exposure, the symptoms may include:</p><ul><li><a test="test" href="./003120.htm">Abdominal pain</a></li><li><a test="test" href="./003075.htm">Breathing difficulty</a></li><li>Bright red or <a test="test" href="./003215.htm">bluish skin</a> and lips</li><li><a test="test" href="./003200.htm">Convulsions</a> (seizures)</li><li><a test="test" href="./003093.htm">Dizziness</a></li><li>Eye pain, burning or watering</li><li><a test="test" href="./003024.htm">Headache</a></li><li><a test="test" href="./000845.htm">Hives</a>, <a test="test" href="./003217.htm">itching</a>, <a test="test" href="./003103.htm">swelling</a>, or <a test="test" href="./003174.htm">weakness</a> resulting from an <a test="test" href="./000005.htm">allergic reaction</a></li><li>Irritability</li><li><a test="test" href="./003117.htm">Nausea</a> and/or <a test="test" href="./003117.htm">vomiting</a></li><li>Pain where the skin has come in contact with the toxic substance</li><li><a test="test" href="./003220.htm">Rash</a>, <a test="test" href="./003939.htm">blisters</a>, <a test="test" href="./000030.htm">burns</a> on the skin</li><li><a test="test" href="./000022.htm">Unconsciousness</a> or other states of altered level of consciousness</li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>First Aid</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Collapsed lung (pneumothorax)	"<p>A collapsed lung occurs when air escapes from the lung. The air then fills the space outside of the lung, between the lung and chest wall. This buildup of air puts pressure on the lung, so it cannot expand as much as it normally does when you take a breath.</p><p>The medical name of this condition is pneumothorax.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Common symptoms of a collapsed lung include:</p><ul><li>Sharp <a test="test" href="./003079.htm">chest or shoulder pain</a>, made worse by a deep breath or a cough</li><li><a test="test" href="./003075.htm">Shortness of breath</a></li><li><a test="test" href="./003055.htm">Nasal flaring</a></li></ul><p>A larger pneumothorax causes more severe symptoms, including:</p><ul><li><a test="test" href="./003215.htm">Bluish color</a> of the skin due to lack of oxygen</li><li>Chest tightness</li><li>Lightheadedness and near fainting<br/></li><li><a test="test" href="./003088.htm">Easy fatigue</a></li><li><a test="test" href="./003077.htm">Rapid heart rate</a></li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Chronic obstructive pulmonary disease	"<p>Chronic obstructive pulmonary disease (COPD) is a common lung disease. Having COPD makes it hard to breathe.</p><p>There are two main forms of COPD:</p><ul><li>Chronic bronchitis, which involves a long-term cough with mucus</li><li>Emphysema, which involves damage to the lungs over time </li></ul><p>Most people with COPD have a combination of both conditions.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms may include any of the following:</p><ul><li>Cough, with or without mucous</li><li>Fatigue</li><li>Many respiratory infections</li><li>Shortness of breath (<a test="test" href="./003075.htm">dyspnea</a>) that gets worse with mild activity</li><li>Trouble catching one\'s breath</li><li>Wheezing </li></ul><p>Because the symptoms develop slowly, some people may not know that they have COPD.</p></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Cystic fibrosis	"<p>Cystic fibrosis is a disease that causes thick, sticky mucus to build up in the lungs, digestive tract, and other areas of the body. It is one of the most common chronic lung diseases in children and young adults. It is a life-threatening disorder.</p><img title="Cystic fibrosis" alt="Cystic fibrosis" src="//medlineplus.gov/ency/images/ency/fullsize/18135.jpg" class="img-e" itemprop="image"/></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms in newborns may include:</p><ul><li><a test="test" href="./003021.htm">Delayed growth</a></li><li>Failure to gain weight normally during childhood
Cor pulmonale	"<p>Cor pulmonale is a condition that causes the right side of the heart to fail. Long-term high blood pressure in the arteries of the lung and right ventricle of the heart can lead to cor pulmonale.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Shortness of breath or lightheadedness during activity is often the first symptom of cor pulmonale. You may also have a fast heartbeat and feel like your heart is pounding.</p><p>Over time, symptoms occur with lighter activity or even while you are at rest. Symptoms you may have are:</p><ul><li>Fainting spells during activity</li><li>Chest discomfort, usually in the front of the chest</li><li>Chest pain</li><li>Swelling of the feet or ankles</li><li>Symptoms of lung disorders, such as wheezing or coughing</li><li>Bluish lips and fingers (cyanosis)</li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Coal worker\'s pneumoconiosis	"<p>Coal worker\'s pneumoconiosis is a lung disease that results from breathing in dust from coal, graphite, or man-made carbon over a long time.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms of this condition include:</p><ul><li><a test="test" href="./003072.htm">Cough</a></li><li><a test="test" href="./003075.htm">Shortness of breath</a></li><li>Coughing up of black sputum</li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Caplan syndrome	"<p>Caplan syndrome is swelling (inflammation) and scarring of the lungs. It occurs in people with <a test="test" href="./000431.htm">rheumatoid arthritis</a> who have breathed in mining dust that contains coal. This lung disease is also called <a test="test" href="./000130.htm">coal worker\'s pneumoconiosis</a>.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms of Caplan syndrome are:</p><ul><li><a test="test" href="./003072.htm">Cough</a></li><li><a test="test" href="./003262.htm">Joint swelling</a> and pain</li><li>Lumps under the skin (rheumatoid nodules)</li><li><a test="test" href="./003075.htm">Shortness of breath</a></li><li>Wheezing </li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Chemical pneumonitis	"<p>Chemical pneumonitis is inflammation of the lungs or <a test="test" href="./003075.htm">breathing difficulty</a> due to inhaling chemical fumes or breathing in and choking on certain chemicals.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Acute:</p><ul><li>Air hunger (feeling that you cannot get enough air)</li><li>Breathing that sounds wet or gurgling (abnormal lung sounds)</li><li>Cough</li><li>Difficulty breathing</li><li>Unusual sensation (possibly burning feeling) in the chest </li></ul><p>Chronic: </p><ul><li>Cough (may or may not occur)</li><li>Progressive disability (related to shortness of breath)</li><li><a test="test" href="./003071.htm">Rapid breathing</a> (tachypnea)</li><li><a test="test" href="./003075.htm">Shortness of breath</a> with only mild exercise </li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Cystic hygroma	"<p>A cystic hygroma is a growth that often occurs in the head and neck area. It is a birth defect.</p></div>"	</div></div><div class="section-body" id="section-2"><p>A common symptom is a neck growth. It may be found at birth, or discovered later in an infant after an upper respiratory tract infection (like a cold).</p></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Coronary artery spasm	"<p>The coronary arteries supply blood and oxygen to the heart. Coronary artery spasm is a brief, sudden narrowing of one of these arteries.</p><img title="Coronary artery spasm is a temporary constriction of an artery in the heart. The spasm can slow or stop blood flow through the artery. The main symptom experienced is chest pain." alt="Coronary artery spasm is a temporary constriction of an artery in the heart. The spasm can slow or stop blood flow through the artery. The main symptom experienced is chest pain." src="//medlineplus.gov/ency/images/ency/fullsize/18130.jpg" class="img-e" itemprop="image"/></div>"	</div></div><div class="section-body" id="section-2"><p>Spasm may be "silent" (without symptoms) or it may result in chest pain or angina. If the spasm lasts long enough, it may even cause a heart attack.</p><p>The main symptom is a type of chest pain called angina. This pain is most often felt under the chest bone (sternum) or left side of the chest. The pain is described as:</p><ul><li>Constricting</li><li>Crushing</li><li>Pressure</li><li>Squeezing</li><li>Tightness </li></ul><p>It is most often severe. The pain may spread to the neck, jaw, shoulder, or arm.</p><p>The pain of coronary artery spasm:</p><ul><li>Often occurs at rest</li><li>May occur at the same time each day, usually between midnight and 8:00 a.m.</li><li>Lasts from 5 to 30 minutes </li></ul><p>The person may lose consciousness.</p><p>Unlike angina that is caused by hardening of the coronary arteries, chest pain and shortness of breath due to coronary artery spasm are often not present when you walk or exercise.</p></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Costochondritis	"<p>All but your lowest two ribs are connected to your breastbone by cartilage. This cartilage can become inflamed and cause pain. This condition is called costochondritis. It is a common cause of <a test="test" href="./003079.htm">chest pain</a>.</p></div>"	</div></div><div class="section-body" id="section-2"><p>The most common symptom of costochondritis is pain and tenderness in the chest. You may feel:</p><ul><li>Sharp pain at the front of your chest wall, which may move to your back or stomach</li><li>Increased pain when you take a deep breath or cough</li><li>Tenderness when you press the area where the rib joins the breastbone</li><li>Less pain when you stop moving and breathe quietly</li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Cardiogenic shock	"<p>Cardiogenic shock is when the heart has been damaged so much that it is unable to supply enough blood to the organs of the body.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms include:</p><ul><li>Chest pain or pressure</li><li>Coma</li><li>Decreased urination</li><li><a test="test" href="./003071.htm">Fast breathing</a></li><li>Fast pulse</li><li><a test="test" href="./003218.htm">Heavy sweating</a>, moist skin </li><li>Lightheadedness</li><li>Loss of alertness and ability to concentrate</li><li>
Coarctation of the aorta	"<p>The aorta carries blood from the heart to the vessels that supply the body with blood. If part of the aorta is narrowed, it is hard for blood to pass through the artery. This is called coarctation of the aorta. It is a type of birth defect. </p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms depend on how much blood can flow through the artery. Other heart defects may also play a role.</p><p>About half of newborns with this problem will have symptoms in the first few days of life. These can include breathing fast, problems eating, increased irritability, and increased sleepiness or becoming poorly responsive.</p><p>In milder cases, symptoms may not develop until the child has reached adolescence. Symptoms include:</p><ul><li>Chest pain</li><li>Cold feet or legs</li><li><a test="test" href="./003093.htm">Dizziness</a> or <a test="test" href="./003092.htm">fainting</a></li><li>Decreased ability to exercise</li><li>Failure to thrive</li><li><a test="test" href="./003193.htm">Leg cramps</a> with exercise</li><li><a test="test" href="./003106.htm">Nosebleed</a></li><li>Poor growth</li><li>Pounding headache</li><li>Shortness of breath </li></ul><p>There may also be no symptoms.</p></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Cardiac tamponade	"<p>Cardiac tamponade is pressure on the heart that occurs when blood or fluid builds up in the space between the heart muscle and the outer covering sac of the heart.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms may include:</p><ul><li><a test="test" href="./003211.htm">Anxiety</a>, restlessness</li><li>Sharp <a test="test" href="./003079.htm">chest pain</a> that is felt in the neck, shoulder, back, or abdomen</li><li>Chest pain that gets worse with deep breathing or coughing</li><li>Problems breathing</li><li>Discomfort, sometimes relieved by sitting upright or leaning forward</li><li><a test="test" href="./003092.htm">Fainting</a>, lightheadedness</li><li>Pale, gray, or blue skin</li><li>Palpitations</li><li>Rapid breathing</li><li>Swelling of the legs or abdomen</li><li>Jaundice</li></ul><p>Other symptoms that may occur with this disorder:</p><ul><li>Dizziness</li><li>Drowsiness</li><li>Weak or absent pulse </li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Cholestasis	"<p>Cholestasis is any condition in which the flow of <a test="test" href="./002237.htm">bile</a> from the liver is slowed or blocked.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms may include:</p><ul><li>Clay-colored or white stools</li><li>Dark urine</li><li>Inability to digest certain foods</li><li>Itching</li><li>Nausea or vomiting</li><li>Pain in the right upper part of the abdomen </li><li>Yellow skin or eyes</li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Chronic cholecystitis	"<p>Chronic cholecystitis is swelling and irritation of the gallbladder that continues over time.</p><p>The gallbladder is a sac located under the liver. It stores bile that is made in the liver. Bile helps the intestines digest fats.</p></div>"	</div></div><div class="section-body" id="section-2"><p><a test="test" href="./000264.htm">Acute cholecystitis</a> is a painful condition that leads to chronic cholecystitis. It is not clear whether chronic cholecystitis causes any symptoms. </p><p>Symptoms of acute cholecystis can include:</p><ul><li>Sharp, cramping, or dull pain in upper right or upper middle of your belly</li><li>Steady pain lasting about 30 minutes</li><li>Pain that spreads to your back or below your right shoulder blade</li><li>Clay-colored stools</li><li>Fever</li><li>Nausea and vomiting</li><li>Yellowing of skin and whites of the eyes (jaundice)</li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Chronic pancreatitis	"<p>Pancreatitis is swelling of the pancreas. Chronic pancreatitis is present when this problem does not heal or improve, gets worse over time, and leads to permanent damage.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms include:</p><p><a test="test" href="./003120.htm">ABDOMINAL PAIN</a></p><ul><li>Greatest in the upper abdomen</li><li>May last from hours to days; over time, may always be present.</li><li>May get worse from eating or drinking</li><li>May get worse from drinking alcohol</li><li>May also be felt in the back </li></ul><p>DIGESTIVE PROBLEMS </p><ul><li>Chronic weight loss, even when eating habits and amounts are normal</li><li>Diarrhea, nausea, and vomiting</li><li>Fatty or oily stools</li><li><a test="test" href="./003129.htm">Pale or clay-colored stools</a></li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Campylobacter infection	"<p>Campylobacter infection occurs in the small intestine from a bacteria called <em>Campylobacter jejuni</em>. It is a type of food poisoning.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms start 2 to 4 days after being exposed to the bacteria. They often last a week, and may include:</p><ul><li>Cramping <a test="test" href="./003120.htm">abdominal pain</a></li><li><a test="test" href="./003090.htm">Fever</a></li><li>Nausea and vomiting</li><li>Watery <a test="test" href="./003126.htm">diarrhea</a>, sometimes bloody</li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Celiac disease - sprue	"<p>Celiac disease is a condition caused by damage to the lining of the small intestine. This damage comes from a reaction to eating gluten. This is a substance that is found in wheat, rye, barley, and possibly oats. It is also found in food made from these ingredients.</p><p>The damaged intestine does not absorb needed components of food.</p></div>"	</div></div><div class="section-body" id="section-2"><p>The symptoms of celiac disease can be different from person to person. This can make diagnosis difficult. For example, one person may have constipation, a second may have diarrhea, and a third may have no problem with stools.</p><p>Gastrointestinal symptoms include:</p><ul><li><a test="test" href="./003120.htm">Abdominal pain</a>, bloating, gas, or indigestion</li><li>Constipation</li><li><a test="test" href="./003121.htm">Decreased appetite</a> (may also be increased or unchanged)</li><li><a test="test" href="./003126.htm">Diarrhea</a>, either constant or off and on</li><li><a test="test" href="./000276.htm">Lactose intolerance</a> (common when the person is diagnosed, often goes away after treatment)</li><li><a test="test" href="./003117.htm">Nausea and vomiting</a></li><li>Stools that are foul smelling, oily, or stick to the toilet when flushed</li><li><a test="test" href="./003107.htm">Unexplained weight loss</a> (although people can be overweight or of normal weight) </li></ul><p>Other problems that can develop over time because the intestines do not absorb key nutrients include: </p><ul><li>Easy bruising</li><li><a test="test" href="./003213.htm">Depression</a> or anxiety</li><li><a test="test" href="./003088.htm">Fatigue</a></li><li>Growth delay in children</li><li>Hair loss</li><li>Itchy skin with a rash (<a test="test" href="./001480.htm">dermatitis herpetiformis</a>)</li><li>Missed menstrual periods</li><li>Mouth ulcers</li><li>Muscle cramps and joint pain</li><li>Nosebleeds</li><li><a test="test" href="./003200.htm">Seizures</a></li><li>Tingling or numbness in the hands or feet</li><li>Unexplained short height </li></ul><p>Children with celiac disease may have:</p><ul><li>Defects in the tooth enamel and changes in tooth color</li><li>Delayed puberty</li><li>Diarrhea, constipation, fatty or foul-smelling stools, nausea, or vomiting</li><li>Irritable and fussy behavior</li><li>Poor weight gain</li><li>Slowed growth and shorter than normal height for their age </li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Crohn disease	"<p>Crohn disease is a disease where parts of the digestive tract become inflamed.</p><ul><li>It most often involves the lower end of the small intestine and the beginning of the large intestine.</li><li>It may also occur in any part of the digestive system from the mouth to the end of the rectum (anus). </li></ul><p>Crohn disease is a form of inflammatory bowel disease (IBD).</p><p><a test="test" href="./000250.htm">Ulcerative colitis</a> is a related condition.</p><img title="Inflammatory bowel disease" alt="Inflammatory bowel disease" src="//medlineplus.gov/ency/images/ency/fullsize/19219.jpg" class="img-e" itemprop="image"/></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms depend on what part of the digestive tract is involved. Symptoms range from mild to severe, and can come and go with periods of flare-ups. </p><p>The main symptoms of Crohn disease are:</p><ul><li>Crampy pain in the abdomen (belly area).</li><li>Fever.</li><li>Fatigue.</li><li>Loss of appetite.</li><li>Feeling that you need to pass stools, even though your bowels are already empty. It may involve straining, pain, and cramping.</li><li>Watery diarrhea, which may be bloody.</li><li>Weight loss. </li></ul><p>Other symptoms may include: </p><ul><li>Constipation</li><li>Sores or swelling in the eyes</li><li>Draining of pus, mucus, or stools from around the rectum or anus (caused by something called a fistula)</li><li>Joint pain and swelling</li><li>Mouth ulcers</li><li>Rectal bleeding and bloody stools</li><li>Swollen gums</li><li>Tender, red bumps (nodules) under the skin which may turn into skin ulcers </li></ul><img title="Anorectal fistulas" alt="Anorectal fistulas" src="//medlineplus.gov/ency/images/ency/fullsize/19291.jpg" class="img-e" itemprop="image"/></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Cirrhosis	"<p>Cirrhosis is scarring of the liver and poor liver function. It is the last stage of chronic liver disease.</p></div>"	</div></div><div class="section-body" id="section-2"><p>There may be no symptoms, or symptoms may come on slowly, depending on how well the liver is working. Often, it is discovered by chance when an x-ray is done for another reason.</p><p>Early symptoms include: </p><ul><li>Fatigue and loss of energy</li><li>Poor appetite and weight loss</li><li>Nausea or belly pain</li><li>Small, red spider-like blood vessels on the skin </li></ul><p>As liver function worsens, symptoms may include: </p><ul><li>Fluid buildup of the legs (edema) and in the abdomen (ascites)</li><li>Yellow color in the skin, mucous membranes, or eyes (jaundice)</li><li>Redness on the palms of the hands</li><li>In men, impotence, shrinking of the testicles, and breast swelling</li><li>Easy bruising and abnormal bleeding, most often from <a test="test" href="./000268.htm">swollen veins in the digestive tract</a></li><li><a test="test" href="./000302.htm">Confusion or problems thinking</a></li><li>Pale or clay-colored stools </li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Colon cancer	"<p>Colon, or colorectal cancer, is cancer that starts in the large intestine (colon) or the rectum (end of the colon).</p><p>Other types of cancer can affect the colon. These include <a test="test" href="./000580.htm">lymphoma</a>, carcinoid tumors, <a test="test" href="./000850.htm">melanoma</a>, and sarcomas. These are rare. In this article, colon cancer refers to colon carcinoma only.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Many cases of colon cancer have no symptoms. If there are symptoms, the following may indicate colon cancer:</p><ul><li><a test="test" href="./003120.htm">Abdominal pain and tenderness</a> in the lower abdomen
Colorectal polyps	"<p>A colorectal polyp is a growth on the lining of the colon or rectum.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Polyps usually do not have symptoms. When present, symptoms may include:</p><ul><li><a test="test" href="./003130.htm">Blood in the stools</a></li><li>Change in bowel habit</li><li>Fatigue caused by losing blood over time </li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Choledocholithiasis	"<p>Choledocholithiasis is the presence of at least one gallstone in the common bile duct. The stone may be made up of <a test="test" href="./002237.htm">bile</a> pigments or calcium and cholesterol salts.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Often, there are no symptoms unless the stone blocks the common bile duct. Symptoms may include:</p><ul><li>Pain in the right upper or middle upper abdomen for at least 30 minutes. The pain may be constant or cramping. It can feel sharp or dull. </li><li><a test="test" href="./003090.htm">Fever</a></li><li>Yellowing of skin and whites of the eyes (jaundice) </li><li>Loss of appetite</li><li><a test="test" href="./003117.htm">Nausea</a> and <a test="test" href="./003117.htm">vomiting</a></li><li>Clay-colored stools</li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Cholangitis	"<p>Cholangitis is an infection of the bile ducts, the tubes that carry <a test="test" href="./002237.htm">bile</a> from the liver to the gallbladder and intestines. Bile is a liquid made by the liver that helps digest food.</p></div>"	</div></div><div class="section-body" id="section-2"><p>The following symptoms may occur:</p><ul><li><a test="test" href="./003120.htm">Pain</a> on the upper right side or upper middle part of the abdomen. It may also be felt in the back or below the right shoulder blade. The pain may come and go and feel sharp, cramp-like, or dull.</li><li>Fever and chills.</li><li>Dark urine and clay-colored stools.</li><li>Nausea and vomiting.</li><li>Yellowing of the skin (jaundice), which may come and go.</li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Cholangiocarcinoma	"<p>Cholangiocarcinoma (CCA) is a rare cancerous (malignant) growth in one of the ducts that carries <a test="test" href="./002237.htm">bile</a> from the liver to the small intestine.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms of CCA may include any of the following:</p><ul><li><a test="test" href="./003090.htm">Fever</a> and chills</li><li>Clay-colored stools and dark urine</li><li><a test="test" href="./003217.htm">Itching</a></li><li><a test="test" href="./003121.htm">Loss of appetite</a></li><li>Pain in the upper right abdomen that may radiate to the back</li><li><a test="test" href="./003107.htm">Weight loss</a></li><li>Yellowing of the skin (<a test="test" href="./000210.htm">jaundice</a>) </li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Cholera	"<p>Cholera is an infection of the small intestine that causes a large amount of watery diarrhea.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms of cholera can be mild to severe. They include:</p><ul><li><a test="test" href="./003120.htm">Abdominal cramps</a></li><li>Dry mucous membranes or dry mouth</li><li><a test="test" href="../patientinstructions/000751.htm">Dry skin</a></li><li><a test="test" href="./003085.htm">Excessive thirst</a></li><li>Glassy or sunken eyes</li><li>Lack of tears</li><li><a test="test" href="./003088.htm">Lethargy</a></li><li><a test="test" href="./003147.htm">Low urine output</a></li><li>Nausea</li><li>Rapid <a test="test" href="./000982.htm">dehydration</a></li><li><a test="test" href="./003077.htm">Rapid pulse</a> (heart rate)</li><li>Sunken "soft spots" (fontanelles) in infants</li><li>Unusual <a test="test" href="./003208.htm">sleepiness</a> or tiredness</li><li>Vomiting</li><li>Watery diarrhea that starts suddenly and has a "fishy" odor</li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Craniopharyngioma	"<p>A craniopharyngioma is a noncancerous (benign) <a test="test" href="./001310.htm">tumor</a> that develops at the base of the brain near the pituitary gland.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Craniopharyngioma causes symptoms by:</p><ul><li>Increasing pressure on the brain, usually from <a test="test" href="./001571.htm">hydrocephalus</a></li><li>Disrupting hormone production by the pituitary gland</li><li>Pressure or <a test="test" href="./001622.htm">damage to the optic nerve</a></li></ul><p>Increased pressure on the brain can causes:</p><ul><li>Headache</li><li>Nausea</li><li>Vomiting (especially in the morning)</li></ul><p>Damage to the pituitary gland causes hormone imbalances that can lead to excessive thirst and urination, and slow growth.</p><p>When the optic nerve is damaged by the tumor, vision problems develop. These defects are often permanent. They may get worse after surgery to remove the tumor.</p><p>Behavioral and learning problems may be present.</p></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
